ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA,Description,Enery_kcal,Protein,Sodium,SaturatedFat,Cholesterol,Potassium,VitaminD,FoodGroup_Encoded
23116,Beef Products,"Beef, chuck, under blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",0.30508261409108395,1.5513258619636883,0.4597289101250172,-0.7570783169382805,-0.5996178969379927,0.0,8.0,0.312,3.19,-0.12908713420619813,-0.31407899599112393,7.0,3.772,0.225,0.07,-0.27912628265296974,0.09,0.0017597070899459373,20.0,0.013,181.0,32.2,9.55,0.0088888888888888,0.1835294117647058,1.3291666666666666,0.0,0.0053333333333333,0.0175,0.23575,0.173076923076923,0.0583333333333333,0.0116666666666666,0.0001,0.0476190476190476,0.2585714285714285,0.5854545454545456,0.8681818181818183,,,,,,,,,3
10047,Pork Products,"Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat, cooked, roasted",0.14298941102394805,1.4359805062921758,0.2594892230188997,-0.7570783169382805,-0.5996178969379927,0.0,5.0,0.485,0.87,-0.12908713420619813,-0.2822442570911651,0.0,9.49,0.295,0.522,-0.2553221179695758,0.085,-0.30557555193395386,21.0,0.0069999999999999,230.0,40.2,2.91,0.0055555555555555,0.2852941176470588,0.3625,0.0,0.0139999999999999,0.0,0.593125,0.2269230769230769,0.4350000000000001,0.0158333333333333,9.444444444444446e-05,0.05,0.3285714285714285,0.730909090909091,0.2645454545454546,,,,,,,,,16
15270,Finfish and Shellfish Products,"Crustaceans, shrimp, untreated, raw",-0.835573259344317,0.7950696187303057,-0.5951482367081138,-0.7570783169382805,-0.5996178969379927,0.0,0.0,0.0,0.0,-0.12908713420619813,-0.33366960454494476,0.0,0.0,0.0,0.0,-0.04108463581903061,0.391,-0.37906876604836465,35.0,0.033,214.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0533333333333333,0.0004344444444444,0.0833333333333333,0.3057142857142857,0.0,0.1218181818181818,,,,,,,,,10
1259,Dairy and Egg Products,"Cheese spread, American or Cheddar cheese base, reduced fat",-0.28925913048841445,0.17276282079287272,-0.09032709782913682,-0.3673559443330257,-0.06085991160233457,0.0,185.0,0.099,1.17,-0.12908713420619813,-0.221023605360475,0.0,0.153,0.442,0.038,2.3060060019636093,0.032,-0.4057935711808777,27.0,0.026,931.0,15.5,1.81,0.2055555555555555,0.058235294117647,0.4875,0.0,0.0306666666666666,0.0,0.0095625,0.34,0.0316666666666666,0.4641666666666666,3.5555555555555546e-05,0.0642857142857142,1.33,0.2818181818181818,0.1645454545454545,,,,,,,,,7
19100,Sweets,"Candies, fudge, chocolate, prepared-from-recipe",1.121552081392213,-0.852322517513631,0.001952035084224514,2.024469597342361,4.980266506425085,1.7,44.0,0.012,0.09,-0.12908713420619813,-0.28959073529884793,4.0,0.176,0.085,0.026,-0.11249712986921234,0.3289999999999999,-0.17028122595060663,36.0,0.422,71.0,2.5,1.11,0.0488888888888888,0.0070588235294117,0.0375,0.0,0.012,0.01,0.011,0.0653846153846153,0.0216666666666666,0.0408333333333333,0.0003655555555555,0.0857142857142857,0.1014285714285714,0.0454545454545454,0.1009090909090909,,,,,,,,,23
4142,Fats and Oils,"Salad dressing, french dressing, reduced fat, without salt",0.052937631542205855,-1.02068952861479,0.18590716932327828,0.3083811667108194,1.5714394235718478,1.1,27.0,0.055,0.0,-0.12908713420619813,0.36669465125414985,2.0,0.467,0.052,0.024,-0.2934087814630061,0.16,-0.3206082548209924,8.0,0.11,16.0,1.6,0.2,0.03,0.0323529411764705,0.0,0.0,0.1906666666666666,0.005,0.0291875,0.04,0.02,0.0091666666666666,0.0001777777777777,0.019047619047619,0.0228571428571428,0.029090909090909,0.0181818181818181,,,,,,,,,9
8228,Breakfast Cereals,"Cereals, QUAKER, Instant Oatmeal, raisins, dates and walnuts, dry",0.881414002774234,-0.25420103608796685,-0.20492209948625228,1.877823363766341,1.7545866140542248,6.9,0.0,1.197,0.0,-0.11779299092259354,-0.19898417073742655,381.0,11.968,1.017,0.892,1.0681894384271258,0.364,1.3212969605077767,92.0,2.224,296.0,16.4,1.94,0.0,0.7041176470588236,0.0,0.0088888888888888,0.0366666666666666,0.9525,0.748,0.7823076923076923,0.7433333333333334,0.2475,0.0004044444444444,0.219047619047619,0.4228571428571429,0.2981818181818181,0.1763636363636363,,,,,,,,,5
11850,Vegetables and Vegetable Products,"Radishes, oriental, cooked, boiled, drained, with salt",-1.2438079929948815,-1.0123176882837932,-0.6114327895751775,-0.6322652695026106,-0.4599681641951805,1.6,0.0,0.038,0.0,0.08408982027183845,-0.33366960454494476,17.0,0.15,0.023,0.0,-0.2648437838429334,0.1009999999999999,-0.4408698779173011,9.0,0.033,24.0,0.7,0.13,0.0,0.0223529411764705,0.0,0.1677777777777777,0.0,0.0425,0.009375,0.0176923076923076,0.0,0.0141666666666666,0.0001122222222222,0.0214285714285714,0.0342857142857142,0.0127272727272727,0.0118181818181818,,,,,,,,,24
20054,Cereal Grains and Pasta,"Rice, white, glutinous, raw",0.8754105508087845,-0.4411721368135633,-0.5927357103574377,2.215146089634755,-0.5996178969379927,2.8,0.0,0.107,0.0,-0.12908713420619813,-0.33366960454494476,7.0,2.145,0.055,0.18,-0.2934087814630061,0.171,-0.19867633140390173,23.0,0.974,71.0,15.1,1.2,0.0,0.0629411764705882,0.0,0.0,0.0,0.0175,0.1340625,0.0423076923076923,0.15,0.0091666666666666,0.0001899999999999,0.0547619047619047,0.1014285714285714,0.2745454545454545,0.109090909090909,,,,,,,,,6
17103,"Lamb, Veal, and Game Products","Veal, leg (top round), separable lean only, cooked, roasted",-0.4453488815901009,1.5364425902641379,-0.42144633945943355,-0.7570783169382805,-0.5996178969379927,0.0,0.0,0.31,1.18,-0.12908713420619813,-0.19898417073742655,16.0,10.08,0.33,0.06,-0.3172129461464,0.13,-0.31559735385864623,28.0,0.031,236.0,11.9,3.08,0.0,0.1823529411764705,0.4916666666666666,0.0,0.0366666666666666,0.04,0.63,0.2538461538461538,0.05,0.005,0.0001444444444444,0.0666666666666666,0.3371428571428571,0.2163636363636364,0.28,,,,,,,,,12
8003,Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE JACKS",0.9054278106360318,-0.6002371031025036,-0.42084320787176455,2.4524000456932296,2.735187196428617,9.3,527.0,1.79,5.4,0.6332675374371115,-0.30428369171421354,594.0,17.9,1.52,1.34,-0.2886479485263273,0.098,2.2232591337300915,29.0,0.499,70.0,5.6,5.4,0.5855555555555556,1.0529411764705885,2.2500000000000004,0.6,0.008,1.485,1.11875,1.1692307692307693,1.1166666666666667,0.01,0.0001088888888888,0.069047619047619,0.1,0.1018181818181818,0.490909090909091,,,,,,,,,5
17041,"Lamb, Veal, and Game Products","Lamb, domestic, shoulder, whole (arm and blade), separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled",-0.08514176366313216,1.4480731645480602,0.007380219373245763,-0.7570783169382805,-0.5996178969379927,0.0,0.0,0.14,3.11,-0.12908713420619813,-0.2846930831603927,23.0,6.15,0.28,0.1,-0.24580045209621826,0.1369999999999999,-0.10012861247775996,29.0,0.0279999999999999,217.0,31.3,6.6,0.0,0.0823529411764706,1.2958333333333334,0.0,0.0133333333333333,0.0575,0.384375,0.2153846153846154,0.0833333333333333,0.0175,0.0001522222222222,0.069047619047619,0.31,0.5690909090909091,0.6,,,,,,,,,12
